unique_id	name	category	group	url	description	question_run_what	question_risk_level	question_sysadmin	question_developer	question_database	question_cost	question_gpus	include
resource_uit_stanford_sites	Stanford Sites	website	UIT	https://uit.stanford.edu/service/stanfordsites	Drupal / Wordpress based websites running on managed UIT infrastructure	I want to run a website	low, moderate	yes	yes, no	no	free	no	yes
resource_tcg_web_services	TCG Services	compute	UIT	https://uit.stanford.edu/tcg	UIT consultants for bespoke deployments not covered by standard UIT or SoM offerings.	I want to run a website, I want to run a service, I need to run some code, I want to run a database	low, moderate, high, hipaa	yes	no	yes I require database services and management	low, medium, high	no	yes
resource_external_github_pages	GitHub Pages	website	External	https://pages.github.com/	GitHub pages allows for free static hosting for individual or organization accounts.	I want to run a website	low		no	no		no	yes
resource_uit_dba	Database Administration by UIT	database	UIT	https://uit.stanford.edu/service/databaseadmin	UIT database administrators.	I want to run a database		yes		yes I require database services and management	high	no	yes
resource_tcg_dba	TCG Database Administration	database	UIT	https://uit.stanford.edu/tcg	TCG doesn't offer database administration, but does do DB deployment for databases that don't require much administration at all: mysql, mariadb and postgresql	I want to run a database	low, moderate, high			yes I require database services and management	low, medium, high	no	no
resource_srcc_sherlock	Sherlock Cluster	compute	SRCC	https://www.sherlock.stanford.edu/	Sherlock is a shared compute cluster available for use by all Stanford faculty and their research teams for sponsored or departmental faculty research. Using the Slurm resource manager, all research teams have access to a base set of general compute nodes, GPU-based servers, and a multi-petabyte Lustre parallel file system for temporary files. Faculty can supplement these shared nodes by purchasing additional servers, thus becoming Sherlock owners. By becoming an owner, your group will not only have exclusive use of purchased nodes, but will have access to the over 1,300 owner compute nodes. Thus far, owners from more than 140 research groups have added compute nodes to Sherlock for their team's exclusive use.	I want to perform research/ML, I want to use interactive notebooks	low, moderate		no	no, yes I can deploy and manage my own database	free, low, medium, high	yes	yes
resource_uit_server_hosting	UIT Server Hosting	compute	UIT	https://uit.stanford.edu/service/serverhosting	UIT datacenter co-location. Run your own hardware in University secured datacenters.	I want to run a website, I want to run a database, I want to run a service		no			low, medium, high		yes
resource_srcc_scg	SCG Genomics Cluster	compute	SRCC	https://login.scg.stanford.edu/	The Stanford Genomics Cluster is available to members of the Genomics research community at Stanford. With scientific support from the Genetics Bioinformatics Service Center (GBSC) and system administration from the Stanford Research Computing Center (SRCC), the SCG cluster uses a charge-back model to provide access to a wide array of bioinformatics tools, techniques and scientific support expertise. It has approximately 2000 compute cores and 9PB of usable storage.	I want to perform research/ML, I want to use interactive notebooks	low, moderate, high		no	no, yes I can deploy and manage my own database	free, low, medium, high	yes	yes
resource_srcc_nero	Nero Cluster	compute	SRCC	http://med.stanford.edu/nero/why-nero.html	Nero is a new highly-secure, fully-integrated research data platform to enable cross-disciplinary collaboration, with capabilities to easily develop and share data models. Nero's platform meets or exceeds Stanford's minimum security standards for High Risk and Protected Health Information (PHI) data. Nero is managed by experienced IT staff to meet data security requirements. Researchers can focus on science, so there is no need to deal with the hassle, expense, and risk of operating and maintaining their own servers. Standard analytical software like Jupyter Notebook, STATA and R are also updated and patched by the IT staff. Nero is designed to support Big Data team science. Big Data research benefits from the availability of High Risk and PHI compliant environments, whether for analysis of social network data or health data. Nero brings the analytical communities across different disciplines together to work in a collaborative and secure environment.	I want to perform research/ML, I want to use interactive notebooks	high, hipaa		no	no, yes I can deploy and manage my own database		yes	yes
resource_srcc_icme_cluster	ICME GPU Cluster	compute	SRCC	https://srcc.stanford.edu/icme	The Institute for Computational & Mathematical Engineering (ICME) GPU cluster consists of servers with 140 GPU cores and 1.2 TB of RAM. In addition, ICME also has an MPI cluster with 184 CPUs and 172 GB of RAM, available to students and faculty from ICME.	I want to perform research/ML			no	no, yes I can deploy and manage my own database		yes	yes
resource_srcc_rse_services	Research Software Engineering Services	software	SRCC	https://uit.stanford.edu/research-software-engineering-services	This service provides researchers with skilled Research Software Engineers (RSEs) to assist in the creation of efficient, scalable, and sustainable research software in order to enable new scientific advances. Specifically, the service provides software development and integration resources, enabling research students, faculty and staff to focus on their research.	I need code development support	low, moderate	no	yes		free, low, medium, high	yes	no
resource_som_medirt	MedIRT	compute	SoM	http://med.stanford.edu/irt/infrastructure/servers.html	Limitations http://med.stanford.edu/irt/infrastructure/servers/hosting/supported.html	I want to run a website, I want to run a database, I want to run a service	low, moderate, high, hipaa	no				no	yes
resource_uit_sws	SWS	website	UIT	https://uit.stanford.edu/sws	Website developement help	I want to run a website, I need code development support			yes				no
resource_farmshare	Farmshare	compute	UIT	https://uit.stanford.edu/service/sharedcomputing/environments	Adhoc computing on shared systems	I need to run some code	low	no	no	no	free	no	yes
resource_instacloud	InstaCloud	compute	UIT	TBD	Adhoc computing on private systems	I need to run some code, I want to run a service	low, moderate	no	no	no	low, medium	no	yes
